id,prompt,story,explanation1,explanation2,explanation3,explanation4,explanation5,explanation6
51,A new drug let 's you live a lifetime in one dream,"I was n't sure what to expect when I tried it the first time. A friend gave one to me, said it 'd be the best night 's sleep I ever had. I never remember my dreams, so I even kept a notebook beside the bed so that I could write down what happened. I 'm not sure where I was; the few moments I had to look around as I threw the furs off the bed and walked in my pyjamas to the thumping door showed me I was in a small wooden house, not much more than a bed, a table, and a few chairs, a lamp ... cozy, I remember thinking. It 's really the only thought I had time for. I opened the door. A trio of men were outside. One thrust a lamp towards me briefly, and with a nod, the men on either side of him stepped forwards and seized me. I was bound at the wrists, a sack put over my head, and thrown into a half-empty hay cart, where my legs were bound as well. I 'm not sure how long we traveled, it felt like an eternity; I could feel a breeze and the quiet hooting of an owl, a few pinpricks of light through the sack from the full moon. The cart stops; I am hauled out of the hay, my ankles unbound, and walked through a winding maze of corridors and passages. A door creaks, the sound of metal on metal, the hood removed, and I am shoved inside to land on my left shoulder with enough time to watch the door pulled shut and locked by a guard. Sleep is elusive. Instead, I watch the blue-blacks turn to purple, to red, then orange. Just as the blues creep into the barred window are there footsteps. Men with swords have come for me. I am allowed to see the corridors I am led through now, out to the rear of what I now know is a castle, to the fairgrounds. People are grouped in a half circle around a large pole jutting from the ground, around which furniture and wood has been piled. In the center of the half circle is a raised box dressed in purples and reds and yellows where a man and a woman sit in relative shade, as I am lead and tied to the pole. The rope binds uncomfortably against my breasts, tightly, as men with more wood come to place it around my feet. The man in the box nods. Two men with swords and torches set the wood alight. I remember looking up at a lone bird flying through the air as the wood catches and begins to smoke; oh, to be a bird, free from restraint and tyranny. As the heat of the flames draws closer to my ankles, a noise pierces the sky, and I wake to the sound of my alarm clock, soaked in sweat, and I and everything in my bed reeks of pine smoke. I did n't need the notebook."," 2 — The story only has a weak relationship with the prompt.

The story has a weak relationship with the prompt because it describes a nightmare rather than a dream that allows the person to live a lifetime. The main character's experience is not a positive one, as they are captured, tied up, and put on the stake. The story does not reflect the idea of living a lifetime in one dream as mentioned in the prompt.", 3 — The story mostly makes sense but has some incoherences.," 2

I would rate this story a 2 on Empathy because it partially involved me on an emotional level. The protagonist's experiences in the dream world were vivid and engaging, which allowed me to understand the emotions of fear and desperation. However, the story did not allow me to completely relate to the characters on an emotional level due to the brief nature of the story and lack of a clear emotional connection to the protagonist.", 2," 2 — You found one or two things interesting in the story, but no more.", 3
56,"A genius serial killer who has been killing successfully for a decade. With one weakness. He can never ever lie. He 's finally gets caught and is facing trial for a murder in court. Yet, he walks, acquitted of all charges.","'It has always given me a thrill to take someone 's life; having such power over the life of another human being. I was inspired by Iago from Othello. I started off with weak minded people; those whose minds were ready to crack. With just a little pressure from me; comments, little remarks here and there, in earshot or spoken directly, that was all it required to convince them to take their lives. But it was too easy. I craved more. I started finding more impulsive individuals, people who are in a fragile state of mind, those feeling a little paranoid and constantly feeling the world is against them. And I constantly fed theve feeling until they exploded. It started small; I made Monica think her husband was cheating on her, until in a fit of rage, she stabbed him with her kitchen knife. Or that Joey 's father will withhold his inheritance in favour of his step mom, causing him to poison her with rat poison. Mind you, although I know that I am responsible for all these death, rather indirectly, everything I did was perfectly within the confines of the law. I did not even speak any falsehood. I merely pointed out various facts, though sometimes out of context, that caused my victims to act the way they did. Slowly I 've learnt to spot and identify the more volatile personalities, the more violent ones. I met the two defendants at one of the nearby coffee shops one afternoon. They were sharing my table because the cafe was packed. I could n't help but overhearing their conversation; railing against the government, feeling racial discrimination from others and the sense of persecution they felt. I knew they were two ripe candidates for me. I struck up a friendship with them, and over the period of two months, I slowly nurtured a boiling cauldron of hate and bitterness, ready to go over at any point. And it did. Fifty four dead and hundreds dead in a single act of terror, precipitated by me. I would say that was the pinnacle of my success. So do you have any further questions for me, Mr Prosecutor? ' 'No further questions. You may now leave the stand. '"," 4 — The story matches the prompt, except for one or two small aspects.

The story matches the prompt with the main character being a serial killer with a weakness of never being able to lie. However, the story diverges slightly from the prompt in the way the killer carries out the murders. Instead of directly killing the victims, the killer manipulates them into committing suicide or engaging in acts of violence. This small deviation from the prompt doesn't take away from the overall story, but it prevents it from being a perfect match.", 3," 4

I would rate the story a 4 on Empathy. The story provided a clear and detailed portrayal of the characters' emotions, primarily focusing on the serial killer's thrill in taking lives and his satisfaction in causing chaos. Although the characters are not relatable on an emotional level, I could understand the emotions they experienced. The story also includes various emotions such as hate, bitterness, and rage. However, the lack of emotional connection to the characters prevents me from giving the story a higher score."," 4 — The ending surprised you, but would have been difficult to predict."," 3 — The story was mildly interesting.

Explanation: The story had an interesting premise with a serial killer who couldn't lie, but the narrative style was a bit dry. I found some aspects of the story to be engaging, but it wasn't enough to make me wish it would continue or that it had a sequel. The story felt like it could have used more character development and a more compelling narrative structure to keep the reader more engaged throughout."," I would rate this story a 4 on Complexity. The story involves complex concepts, realistic characters, an intricate plot, and an underlying history or circumstances. The story also has precise descriptions and a detailed setting. Although it is not the most developed story, it does have several well-thought-out elements that contribute to its complexity."
57,"You live in a world of heroes and villains, your job is to contact heroes for hospital visits to sick children, this last request is a challenge, the kid wants to meet their favourite villain ...","How am I supposed to reply to this? What depths of pain must I plumb? What words, what crystal shards of pain, must I, into my flesh, plunge? A dying child, and a man, already dead, insensate to all, but their own little word. No. I refuse. I must write not to this. For their pain is perfection. And no monument of mere words will suffice to pay my respects to this work. I am done here. Let these characters lie. In my heart and my soul I shall, for them cry. I am done here. No more words shall fall. Of their tears, I shall now gather them all."," 1

Relevance: The story has no relationship with the prompt at all."," 1

The story does not make sense at all. There is no understandable plot, and the setting and characters change abruptly."," 1

I rated this story a 1 on empathy because the characters seemed apathetic to me. There was no connection or emotional involvement on my part. The writing style felt disconnected and detached, making it difficult to understand the emotions of the characters."," 1

The story was not surprising at all. It had a very clear and predictable ending from the beginning. There were no unexpected plot twists or character developments that could have made the ending more surprising. The story was more like a rant rather than a narrative, which contributed to the predictability of the ending.", 1 — I found the story boring and was glad it was over., 1 — The setting of the story is extremely simple; it only involves one or two characters or concepts.
59,The Aokigahara Suicide Forest,"I feel like I 'm in a museum, looking at the strange, old echoes of a world I ca n't seem to fully understand. Feelings of old people, sadness that 's creeped up in paint, veneer, wrinkled skin. Such stillness. Minds you just ca n't reach, that are always behind the horizon. I thought I would feel repulsed but I do n't, my beliefs in the world are only slightly hampered, and only temporarily. Somewhere on the edge of my mind is the tendency to blame it on capitalism. As if socialism were any better. It feels too easy. It feels like I 've been set up to make that connection. The endless documentaries and talking heads. Socialism is no better, and the truth of the matter is that we really do n't have an answer. I have this triggered sense of superiority which I loath. Mostly because it 's that: it 's triggered. I do n't have the answers, nobody does. Yet deep down I still feel I would never be so crazy as to take my own life. What were these people thinking when they did it? Did this forest somehow remind them of a museum? Did they want to make a statement? I was always thought committing suicide is an act of aggression. Did these people have a raging fire in their hearts, as they kneeled on the ground, quietly preparing their ropes, quietly setting up their tents? But the world played one last trick on them. It wiped out any sense of rage, of victory, even desperation. I only feel slightly less confident about the world I find myself in. A subtle sabotaging, an eerie, distant discomfort. My conscience is still telling me that I 'm above this, my personality is stronger, the culture I find myself in is more sane, I 'm more rational, my political beliefs are more ethical. As I keep pushing aside the involuntary thoughts I do not like, and do not perceive as truly my own, I feel I 'm getting closer to these men. I 'm starting to feel sad. My eyes are moist and sticky, I feel wet, as if I just got out of the rain. I have to let it go. Oddly there are no thoughts or ideas that get me any further, there are no lessons to be drawn. This is just what is. A forest with people hanging from trees. I 'm bordering on not judging, to be like the wind and the rain itself, and on forgiving: them, society, myself.", 3 — The story roughly matches the prompt.," 3 — The story mostly makes sense but has some incoherences.

Explanation: The story has a clear setting and characters, but there are some parts that don't seem to connect well with the overall theme or with the rest of the story, making it somewhat incoherent."," 2

I feel that the story could have been stronger in terms of empathy. While there were hints of emotions from the narrator, such as sadness and a sense of discomfort, there was no one character who completely involved me on an emotional level. The story did a decent job of describing the narrator's thoughts and feelings, but it lacked a deeper connection to any of the characters.", 4, 3 — The story was mildly interesting., 3
62,A soldier on the front dies in the middle of writing a letter home. It is finished and sent by the man who killed him.,"” Hey Karen. 4 days. 4 more days and then I’ll be back. I’m coming home. 4 days until I have you in my arms again and can tell you all the things I want to tell you. I can hardly wait. Tomorrow we break from the front and we will pack up and head back to base. 2 days there with some reporting and goodbyes and then I’m heading stateside. If there isn’t a shindig planned for my homecoming I’ll be pissed. Neither of us wants that. If there is a grand homecoming party for me, I might overlook that Josh gave you a ride home from work last month, even though I thought I made it clear that you shouldn’t hang out with him. I mean… I was clear wasn’t I? You SWORE Karen. You swore to me that you wouldn’t see him ever again outside of work and I believed you. I took you in my arms and comforted you. I kissed the lip you made me break and made it all better. We made love that night. It was beautiful, we both cried and were so very, very happy. I love you Karen and you love me too. I love you so much that I couldn’t bear seeing you with someone else and when I hear that he gave you a lift… It hurts so bad Karen. It hurts me to my core to think of someone else near you. I’ll kill him Karen. I’ll kill him and then I will kill you. I will make damn sure nobody ever gets near you but me. Is… We arrived in the trenches early on the morning of the 5th. I was the one who shot and killed Sergeant Mike Andersson; your husband. When we cleaned out the trenches I saw this letter and reading it made me sick. I have never met you and I have no idea of who you or Josh is but if Sgt. Andersson here is anything like this letter suggests, I think this was for the best. Nothing I say can undo what I did. I have killed a person. A son and a husband. But I will hold this letters contents to be true, that way I can ease my mind and see it as saving a woman and a man who, I hope, will bring better days to this world than the ones Sgt. Andersson did. I wish you all the best and that you can forgive my actions this day. Sincerely yours, Private first class, Jessica Brown.”", 4, 3 — The story mostly makes sense but has some incoherences., 4," 4

The story surprised me, as it was difficult to predict the exact outcome. However, there were enough clues in the story, such as the soldier's strong emotions and the mention of his jealousy, that made it possible to predict that something dramatic might happen. So, I would rate the story a 4 on the Surprise scale, using the provided guidelines."," 2

I found the story mildly interesting, as it was a unique and unexpected plot twist when the soldier who killed Sgt. Andersson finished and sent the letter. However, the story was lacking in depth and development, which made it difficult to fully engage with the characters and their emotions.", 3
63,"Michael, a 15 year old Call of Duty player, realizes the greatest trash-talking opportunity of all time. Over his headset, he recognizes his opponent 's voice as that of President Obama.","“Time to get rekt, skrubs .” Those were the first 5 words Michael ( AKA # n00bsl4y3r4l1f3 # ) remarked as he started up his CoD game on his X-Box, and they would be the last 5 words he ever heard. “What gamemode shall I play today? Headquarters? Capture the Flag? No, no. What I want is some good ol'FFA. Perfect for rekt-ing n00bs .” Michael glossed his lips with his bumpy tongue in pure concentration as he jiggled the joysticks & bopped the buttons, highlighting & selecting many options on the Panasonic TV as he proceeded towards the Deathmatch mode. He logged on, and although his internet connection was decreasing from overuse and neglect, managed to connect after a solid 20 minutes. The 1 thing Michael did to begin with was immediately stare at the username list ( or as he called it, the noob hitlist ). There they were, the usual suspects. '~`! @ # $ % ^ & * ( ) -_+= { [ } ] |\: ;”'<, >. ? /Rekter/? . >, < '”; : \| ] } [ { =+-_ ) ( * & ^ % $ # @! `~', the kid who attempted to make a cool username, but ended up overusing symbols. '666', the so-called 'creepypasta user'. *Nice try, unscary skrubber. * Michael thought to himself. Then, of course, there were the unlimited FNaF, brony, Minecraft, and more fags. But there was a brand new n00b he had never seen on the hitlist before. His name was xXxHuSsEiNxXx, a very incredulous name. But Michael assured himself that it was just another useless n00b that could n't play CoD at all. Little did he know, this was about to be the worst mistake he would ever make. ( **Aaand that was Part 1. Wan na see more? ** )", 1," 2 — Most of the story does not make sense.

The story does not make sense at all. There are several changes in the setting and characters, and there is no clear plot. Additionally, the dialogue is filled with excessive use of symbols, which makes it difficult to understand the context."," 2 — At least one character slightly related to you on an emotional level.

I rated this story a 2 on the empathy scale because the main character, Michael, seemed apathetic and focused on winning the game. I could somewhat relate to his excitement about playing CoD and his desire to win, but the story did not provide strong emotions or a deep connection to any of the characters."," 4

The story was surprising, as the main character, Michael, was unaware of who his opponent truly was. However, there were enough clues throughout the story that one could predict the ending. The guidelines provided help to justify this rating:

- The ending was predictable after half of the story, as the character's username, xXxHuSsEiNxXx, was a clue that the opponent was someone important.
- The story surprised the reader, but there were enough clues in the story to predict the ending.", 4 — The story almost kept you engaged until the end., 2
65,"Civilization has fallen, but brave treasure hunters have heard the legend of Ft. Knox. The automated defenses, however, are still online.","James looked out towards the rising sun, peaking over the mountains. The air was cold, but it was clean. He loved this time of the day. A family of deer were grazing on the pasture below him. He watched the fawns play as he cracked open another bottle of the Prohibition-era Scotch they found back in Chicago and poured himself a tall glass. Charles quietly opened the door behind him. “You got another glass for me ?” James smiled, “I might .” Charles grabbed a short glass from the nightstand alongside James 's bed. James poured slowly but Charlesgave him that look he always did, so he filled it to the brim. They clinked their glasses together and each took a sip. Charles spoke up, “So we got some interesting news today .” “Oh really ?” Charles nodded, “A group came into town a few hours ago. They came all the way from Kentucky .” “Regular pioneers. They bring any bourbon ?” Charles chuckled, “Lots. But there 's something else. You ever heard of Fort Knox ?” James drew his attention away from sunrise and back at Charles, “Like from Goldfinger? The vault ?” “That 's the one. They say it 's been abandoned since ... .” James understood. He looked out towards the valley again and took a long drink from his glass. “What do you think ?” Charles shrugged. He took a seat in the chair facing the mountains, “I 'm not sure. Who knows what the government hid down there. Sure there 's a lot of gold. Only problem is those pioneers said all the security systems are still activated .” “Sounds like a lot of trouble .” “It does. We also had a drifter come in from the West .” “California man ?” Charles nodded, “Sure was. Said the northern coast of the state has become consumed by wild cannabis plants .” James raised his eyebrows, grinned, and turned his gaze to Charles. Charles smiled. James started to laugh, “Pack your bags. Tell the boys we 're going to California .”", 4, 2 — Most of the story does not make sense.," I would rate this story a 2. The characters seemed apathetic to me, but I could slightly relate to them on an emotional level as they discussed the potential treasure hunt and the wild cannabis plants in California.", 3 — The ending was predictable after half of the story., 3 — The story was mildly interesting., 4
69,Please tell me about one of your fonder memories.,"The sand was warm. So was the air, and so was the wind. Everything was comfortably warm and cozy. The body of water - not sure what it was exactly - was sloshing lazily, entrancing me with it 's soft melody. Everything was in the tints of yellow and orange - the setting sun appeared larger than usually, and seemed static for now. I had my sweetheart laying next to me, nuzzling her head in the curve of my neck. She was warm, too, and her touch had a little something special to it. It was not just like touching - it felt almost electric. But not vibrating electric - the touch radiated energetic comfort and security. Everything was quiet except for the water and wind. For once, everything was perfect. It never happened, and it might never happen, but damn it feels good to have a bit of sunshine to go back to sometimes, even though in the end it just makes me feel slightly more miserable when I wake. I have a few more I could describe too. My life was too uneventful to remember a lot of things, but there are a few events that stand out. A few more dreams that have been etched into memories too. Not all of them as nice."," 3 — The story roughly matches the prompt.

The story matches the prompt in that it is a memory of a time that the person describes as perfect. However, the memory is not about a specific event, like the prompt suggests, but a general feeling of contentment. The story also includes a description of the setting, which is not part of the prompt."," 3 Coherence

I would rate the story a 3 Coherence, as it mostly makes sense but has some incoherences. The main character is describing a fond memory, which is clear. However, the description of the surroundings and the sun seems to change throughout the story, making it a bit difficult to follow at times. Additionally, the mention of ""a few more dreams that have been etched into memories too"" is confusing and doesn't seem to fit with the rest of the story."," I would rate this story a 4 on Empathy. 

The story had a character who seemed to emotionally relate to the narrator (the sweetheart laying next to them), and the narrator also recognized specific emotions (such as energetic comfort and security) in their interaction with their sweetheart. However, the story lacked strong emotional depth and detail, which prevented a complete emotional connection with the characters."," 4

I would rate this story a 4 on the scale of surprise. The ending was not entirely predictable, but there were enough clues in the story that it could have been predicted by some readers. The story is about a beautiful moment shared between the narrator and their sweetheart, but the ending reveals that it is a memory and not a reality. This twist adds a touch of sadness to an otherwise peaceful and idyllic scene."," I would rate the story a 3 on Engagement. The story was mildly interesting, but there were no particular events or descriptions that stood out as particularly engaging. It was a pleasant and vivid description of a memory, but not enough to keep me captivated."," 2

I rate this story a 2 on complexity. The story is simple; one or two characters, a simple plot, maybe an indication of time or location. There is no intricate plot or complex concepts, realistic characters, or underlying history or circumstances. The story's simplicity allows the reader to focus on the setting and the emotions being described, creating a sense of peace and nostalgia."
73,Write a story in which a character slowly loses his empathy and humanity because of how society treats him as well as having us empathize with him.,"I came here thinking it was gods county, yeah . They welcomed me at first, got to known their names their hobbies, their families and friends. I felt accepted. Then a switch triggered, some said it did n't matter what those other people did. But they never did look me in the eyes like before. I was. Fine being an outcast. A could get by with my job and my work. But they could never let it rest. I was a foreign virus to them. So I gave them something back. Showed them I would n't take it. I became what they thought I was. But even more terrifying. They wanted a villian, might as well give them the devil'"," 4

I would rate this story a 4 on the Relevance scale. The story roughly matches the prompt in that it portrays a character who is treated as an outcast by society and, as a result, loses his empathy and humanity. However, the story does not fully match the prompt, as it does not explicitly mention the character's empathy and humanity being slowly lost."," 3 — The story mostly makes sense but has some incoherences.

The story tells the tale of a character who is initially accepted in a new society but eventually becomes an outcast due to the society's treatment of him. The character then adopts the role of a villain, which was the society's perception of him. The story mostly makes sense, but there are some incoherences such as the character's sudden change in behavior and the unclear motive behind the society's initial acceptance."," 4

The story portrays the emotions of a character who is gradually becoming emotionally distant due to the way society treats him. The character experiences a shift in how people treat him, which leads him to change his behavior and ultimately become more apathetic. The guidelines suggest that I recognized specific emotions in at least one character, but the emotions were not very strong. I emotionally related to the character on a minor level, but it was not a complete emotional connection. Overall, the story successfully conveys the character's emotions, but it did not completely involve me on an emotional level."," 3 — The ending was predictable after half of the story.

The story follows a character who faces discrimination and becomes increasingly more isolated. As a result, the character becomes more and more antagonistic towards the society that rejected him. This is a familiar theme, and it is easy to predict that the character will eventually become the villain that society wants him to be. The ending of the story is not completely obvious, but it is easily predictable after half of the story."," 4 — The story almost kept me engaged until the end.

I found the story interesting and easy to follow. The main character's transformation from being accepted to being an outcast was well-written and relatable. The use of metaphors and the dialogue between the characters kept me engaged throughout the story. However, the ending felt a bit abrupt, and I wished there was a bit more to it. Overall, it was a good read, and I would rate it 4 out of 5."," 3

The story is somewhat developed, as it involves complex concepts, realistic characters, and an intricate plot. It also has an underlying history or circumstances and precise descriptions. However, it lacks a well-developed setting and additional depth to the characters and plot."
75,[ CW ] Make me fall in love with a character in 200 words or less.,"I saw you curled in a cotton- soft maple-red sweater arms stretched and resting between your knees. Across the table I saw your teeth shine in smiles and your train-track thump-thump-thump of a laugh, lighter and more dove-like than the calls of the doves themselves. You lean in close — our eyes almost kissing — and then pull back out to sip your tea and laugh, laugh, laugh again. Your legs cross, uncross; your gaze, caught between my own and the finger of heat smoke rising from the tea, and your hands clasping, unclasping, stroking each digit in the same wanting motion. I saw you watching, in turn my eyes, lips, hands, feet, my flush — to match the too-bright light waxing and waning against your vacuum iris — folding against the edges of space — do you feel it too? — this black hole between us, sucking us, dragging us gasping and panting, lovingly into this new, pregnant darkness."," 5

Explanation: The story matches the prompt exactly. The character is described in a way that makes it easy to fall in love with them, and the scene is presented in a way that engages the reader's emotions and imagination."," 4

The story is mostly coherent, but there are a few incoherences. It is not completely clear what is happening or why the characters are acting the way they do. The descriptions of the character's actions and the atmosphere are vivid and intriguing, but the plot is not entirely clear."," 3

I rated the story a 3 on the Empathy scale because the emotions of the characters are somewhat recognizable and relatable, but not strong enough to completely immerse the reader in their emotional world. The story is written in a poetic and beautiful manner, but the emotional depth of the characters is not fully explored, which makes it difficult for the reader to completely understand their feelings. The story could benefit from more details and exploration of the characters' emotions to increase the level of empathy."," 4

I would rate this story a 4 on surprise. While the ending was somewhat predictable, there were enough clues and subtle hints throughout the story that it could have been predicted but was still a pleasant surprise. The story was well-written and the language was beautiful, making it an enjoyable read."," 4 — The story almost kept you engaged until the end.

The story was engaging, and it almost kept me engaged until the end. The descriptive language used in the story, such as ""cotton-soft maple-red sweater,"" ""train-track thump-thump-thump of a laugh,"" and ""vacuum iris,"" was captivating and painted a vivid picture of the characters and their interactions. The imagery of the ""black hole between us"" was also intriguing and helped to build the tension. However, the story could have benefited from more character development and a clearer plot to maintain a higher level of engagement throughout."," 4

I would rate the story a 4 on Complexity because it involves complex concepts, such as the black hole between the characters and their emotional connection, and precise descriptions, like the way their gazes and actions are described. The story also has an intricate plot, with the characters' interactions and emotions being built up in a way that makes it seem like a real-life situation. Although it may not be a completely developed story, it is well on its way to being one."
